criteria;s;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R;CC;CW;CP;CAS;R
j1;7;1,3;2,3;3,4;5;1;6;6;6;6;1;6;6;6;6;1;4;4;6;6;1;6;6;6;6;1;6;3;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j2;7;5;4;4;4;1;4;1;3;3;1;2;4;4;3;1;5;5;4;2;1;3;1;4;4;1;2;2;3;3;1;4;4;4;4;1;4;4;3;3;1;5;6;3;3;1;4;4;3;1;1;5;5;5;4;1
j3;7;5;4;4;5;0.9;5;5;5;5;0.9;5;5;5;5;1;5;5;5;5;1;3;3;4;3;0.8;4;4;4;4;0.7;5;5;5;5;1;6;6;6;5;1;3;3;3;4;0.8;5;5;5;4;1;4;4;4;4;1
j4;7;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j5;7;3;2;3;4;0.9;4;4;4;2;0.99;4;4;4;3;0.99;4;4;4;2;1;4;4;4;2;0.97;4;4;4;3;0.99;3;2;3;3;0.85;4;4;4;3;0.99;3;2;4;2;0.8;2;2;3;2;0.7;4;3;4;4;0.99
j6;7;3;6;6;6;1;4;4;4;4;1;4;4;4;4;1;3;3;3;4;1;4;4;4;4;1;3;3;3;4;1;4;4;4;4;1;4;4;4;4;1;3;3;3;4;1;3;3;3;4;1;3;3;3;4;1
j7;7;3;6;6;6;1;4;4;4;4;1;4;4;4;4;1;3;3;3;4;1;4;4;4;4;1;3;3;3;4;1;4;4;4;4;1;4;4;4;4;1;3;3;3;4;1;3;3;3;4;1;3;3;3;4;1
j8;7;5;5;4;4;0.95;6;6;6;4;1;4;4;4;4;0.96;3;3;4;4;0.96;4;4;4;4;0.98;6;6;6;6;1;3;3;3;3;0.9;4;3;4;2;0.9;5;5;5;5;0.98;5;5;4;4;0.98;5;5;4;4;0.98
j9;7;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
