criteria;s;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
j1;3;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;0;2;1;2;2;0;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;2;2;.90;2;2;2;2;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j2;3;1;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;0;1;2;2;2;0;1;2;2;2;0;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j3;3;1;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;0;1;2;2;2;0;1;2;2;2;0;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j4;7;6;6;6;6;1;5;5;6;6;1;4;6;6;6;1;4;4;6;6;1;6;6;6;6;1;4;4;6;6;1;4;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;2;6;1;6;6;6;6;1;6;6;6;6;1;5;5;6;6;1;6;6;6;6;1;5;5;5;5;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j5;7;5;5;4;4;.95;4;4;4;4;.90;5;5;5;4;.98;4;4;4;4;.94;3;3;4;4;.94;4;4;4;4;.93;4;4;4;4;1;3;3;4;4;.93;5;5;4;5;.92;5;5;4;4;.96;4;4;4;4;.96;4;5;2;4;.95;4;4;4;4;.95;4;3;4;4;.95;3;3;3;4;.94;4;4;4;4;.98;4;3;4;4;.95;5;5;5;4;.98;4;4;4;4;.96;5;5;5;4;.98;6;6;6;4;1;4;4;4;4;.96;3;3;4;4;.96;4;4;4;4;.98;6;6;6;6;1;3;3;3;3;.90;4;3;4;2;.90;5;5;5;5;.98;5;5;4;4;.98;5;5;4;4;.98;4;4;4;4;.96;4;4;4;4;.96;3;3;4;4;.95;4;4;4;4;.96;5;5;4;4;.96;5;5;4;4;1;6;6;4;4;.98;6;6;4;4;1;4;4;4;4;.96;6;6;4;4;.98;5;5;4;4;.98;4;4;4;4;.98;6;6;4;4;.98;4;4;4;4;.96;5;5;4;4;1
j6;7;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;4;4;6;6;.90;4;6;6;6;.90;4;6;6;6;.90;4;6;6;6;.90;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;.90;6;6;3;6;.85;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;.90;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j7;7;5;4;4;5;.90;4;4;4;1;.90;4;4;4;1;.80;4;4;4;4;.80;4;4;4;4;.90;4;4;4;4;1;4;4;4;4;1;4;4;4;4;.90;5;5;4;4;.90;5;5;5;1;1;4;4;4;5;1;1;3;4;4;1;4;4;4;3;1;4;4;4;5;1;4;4;4;4;.90;4;4;4;4;.90;3;3;4;4;.80;5;5;5;5;1;5;5;5;5;1;6;6;6;4;1;5;5;5;5;.90;5;5;5;5;1;1;1;1;1;1;3;3;4;3;.80;4;4;4;4;.70;5;5;5;5;1;6;6;6;5;1;3;3;3;4;.80;5;5;5;4;1;4;4;4;4;1;5;5;5;5;1;6;6;6;4;1;5;5;5;5;1;4;4;4;4;1;4;4;4;4;1;4;4;4;4;.90;3;3;4;4;1;4;4;4;4;1;4;4;4;4;.90;4;4;4;4;1;4;4;4;4;1;5;5;4;4;1;4;4;4;4;1;4;4;4;4;1;5;5;4;4;1
j8;7;5;4;4;4;1;4;3;4;4;1;4;3;4;1;1;4;3;3;4;1;4;3;4;4;1;4;3;4;3;1;5;3;4;4;1;5;4;4;4;1;4;5;5;5;1;4;3;3;4;1;4;3;5;3;1;6;5;5;4;1;4;4;4;4;1;4;3;3;4;1;4;3;3;3;1;3;3;3;3;1;4;4;3;3;1;3;3;3;2;1;4;4;3;3;1;5;4;2;3;1;4;1;3;3;1;2;4;4;3;1;5;5;4;2;1;3;1;4;4;1;2;2;3;3;1;4;4;4;4;1;4;4;3;3;1;5;6;3;3;1;4;4;3;1;1;5;5;5;4;1;5;6;5;4;1;4;6;4;4;1;3;3;3;4;1;4;3;4;4;1;3;4;3;4;1;3;3;4;3;1;3;2;3;4;1;4;4;4;3;1;3;5;3;3;1;4;3;3;1;1;3;3;3;3;1;3;3;3;3;1;5;5;4;5;1;4;4;5;3;1;4;3;4;3;1
j9;5;2;0;2;4;.90;2;0;4;2;.92;2;2;2;0;.90;4;4;4;0;.90;2;2;2;0;.85;4;4;4;4;.95;4;4;2;2;.90;4;2;4;0;.98;4;0;4;2;.85;0;0;0;0;.90;0;0;0;2;.90;4;2;2;2;.88;4;4;4;2;.99;4;0;4;2;.90;4;4;4;2;.99;0;0;4;2;.97;2;2;2;4;.99;0;0;4;2;.97;4;0;2;2;.97;4;4;4;0;.98;4;4;4;0;.99;4;4;4;2;.99;4;4;4;0;1;4;4;4;0;.97;4;4;4;2;.99;2;0;2;2;.85;4;4;4;2;.99;2;0;4;0;.80;0;0;2;0;.70;4;2;4;4;.99;4;0;4;2;.97;2;0;2;4;.90;0;0;0;0;.70;4;2;4;4;.99;0;0;4;2;.90;4;4;4;2;.99;4;4;4;2;.95;2;0;4;2;.90;0;0;2;2;.92;2;2;2;2;.95;2;2;2;0;.85;0;0;2;0;.70;4;4;4;0;.82;2;2;2;0;.78;0;0;0;0;.60
