criteria;s;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
j1;3;1;1;2;2;100;2;2;2;2;100;1;1;1;1;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;0;2;100;2;2;0;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;1;1;2;2;90;2;2;2;2;100;2;2;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j2;3;1;2;2;2;100;1;2;2;2;100;1;1;2;2;100;1;1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;0;100;2;2;2;0;100;2;2;2;0;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;1;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j3;3;1;2;2;2;100;1;2;2;2;100;1;1;2;2;100;1;1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;0;100;2;2;2;0;100;2;2;2;0;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;1;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;1;1;1;2;100;1;1;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j4;7;6;6;6;6;100;5;5;6;6;100;4;6;6;6;100;4;4;6;6;100;6;6;6;6;100;4;4;6;6;100;4;4;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;2;6;100;6;6;6;6;100;6;6;6;6;100;5;5;6;6;100;6;6;6;6;100;5;5;5;5;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100
j5;7;5;5;4;4;95;4;4;4;4;90;5;5;5;4;98;4;4;4;4;94;3;3;4;4;94;4;4;4;4;93;4;4;4;4;100;3;3;4;4;93;5;5;4;5;92;5;5;4;4;96;4;4;4;4;96;4;5;2;4;95;4;4;4;4;95;4;3;4;4;95;3;3;3;4;94;4;4;4;4;98;4;3;4;4;95;5;5;5;4;98;4;4;4;4;96;5;5;5;4;98;6;6;6;4;100;4;4;4;4;96;3;3;4;4;96;4;4;4;4;98;6;6;6;6;100;3;3;3;3;90;4;3;4;2;90;5;5;5;5;98;5;5;4;4;98;5;5;4;4;98;4;4;4;4;96;4;4;4;4;96;3;3;4;4;95;4;4;4;4;96;5;5;4;4;96;5;5;4;4;100;6;6;4;4;98;6;6;4;4;100;4;4;4;4;96;6;6;4;4;98;5;5;4;4;98;4;4;4;4;98;6;6;4;4;98;4;4;4;4;96;5;5;4;4;100
j6;7;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;4;4;6;6;90;4;6;6;6;90;4;6;6;6;90;4;6;6;6;90;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;4;6;6;90;6;6;3;6;85;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;4;6;6;90;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100;6;6;6;6;100
j7;7;5;4;4;5;90;4;4;4;1;90;4;4;4;1;80;4;4;4;4;80;4;4;4;4;90;4;4;4;4;100;4;4;4;4;100;4;4;4;4;90;5;5;4;4;90;5;5;5;1;100;4;4;4;5;100;1;3;4;4;100;4;4;4;3;100;4;4;4;5;100;4;4;4;4;90;4;4;4;4;90;3;3;4;4;80;5;5;5;5;100;5;5;5;5;100;6;6;6;4;100;5;5;5;5;90;5;5;5;5;100;1;1;1;1;100;3;3;4;3;80;4;4;4;4;70;5;5;5;5;100;6;6;6;5;100;3;3;3;4;80;5;5;5;4;100;4;4;4;4;100;5;5;5;5;100;6;6;6;4;100;5;5;5;5;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;90;3;3;4;4;100;4;4;4;4;100;4;4;4;4;90;4;4;4;4;100;4;4;4;4;100;5;5;4;4;100;4;4;4;4;100;4;4;4;4;100;5;5;4;4;100
j8;7;5;4;4;4;100;4;3;4;4;100;4;3;4;1;100;4;3;3;4;100;4;3;4;4;100;4;3;4;3;100;5;3;4;4;100;5;4;4;4;100;4;5;5;5;100;4;3;3;4;100;4;3;5;3;100;6;5;5;4;100;4;4;4;4;100;4;3;3;4;100;4;3;3;3;100;3;3;3;3;100;4;4;3;3;100;3;3;3;2;100;4;4;3;3;100;5;4;2;3;100;4;1;3;3;100;2;4;4;3;100;5;5;4;2;100;3;1;4;4;100;2;2;3;3;100;4;4;4;4;100;4;4;3;3;100;5;6;3;3;100;4;4;3;1;100;5;5;5;4;100;5;6;5;4;100;4;6;4;4;100;3;3;3;4;100;4;3;4;4;100;3;4;3;4;100;3;3;4;3;100;3;2;3;4;100;4;4;4;3;100;3;5;3;3;100;4;3;3;1;100;3;3;3;3;100;3;3;3;3;100;5;5;4;5;100;4;4;5;3;100;4;3;4;3;100
j9;5;2;0;2;4;90;2;0;4;2;92;2;2;2;0;90;4;4;4;0;90;2;2;2;0;85;4;4;4;4;95;4;4;2;2;90;4;2;4;0;98;4;0;4;2;85;0;0;0;0;90;0;0;0;2;90;4;2;2;2;88;4;4;4;2;99;4;0;4;2;90;4;4;4;2;99;0;0;4;2;97;2;2;2;4;99;0;0;4;2;97;4;0;2;2;97;4;4;4;0;98;4;4;4;0;99;4;4;4;2;99;4;4;4;0;100;4;4;4;0;97;4;4;4;2;99;2;0;2;2;85;4;4;4;2;99;2;0;4;0;80;0;0;2;0;70;4;2;4;4;99;4;0;4;2;97;2;0;2;4;90;0;0;0;0;70;4;2;4;4;99;0;0;4;2;90;4;4;4;2;99;4;4;4;2;95;2;0;4;2;90;0;0;2;2;92;2;2;2;2;95;2;2;2;0;85;0;0;2;0;70;4;4;4;0;82;2;2;2;0;78;0;0;0;0;60
