criteria;sc;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
j1;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;0;0;2;2;100;2;2;2;2;100;0;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;1;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j2;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;1;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j3;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j4;3;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;0;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100;2;2;2;2;100
j5;5;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100;4;4;4;4;100
