dimension;begin;end;j1;j2;j3;j4;j5;j6;j7;j8;j9
1;1;8;0.119;0.096;0.077;0.128;0.122;0.122;0.109;0.122;0.105
2;9;14;0.108;0.090;0.092;0.124;0.124;0.124;0.111;0.124;0.103
3;15;21;0.128;0.106;0.081;0.128;0.121;0.128;0.061;0.129;0.118
4;22;28;0.121;0.103;0.083;0.121;0.118;0.118;0.118;0.109;0.109
5;29;35;0.127;0.095;0.081;0.122;0.127;0.127;0.115;0.111;0.095
6;36;41;0.123;0.097;0.08;0.124;0.127;0.123;0.117;0.108;0.101
7;42;45;0.129;0.097;0.073;0.129;0.129;0.129;0.116;0.108;0.090
