criteria;ss;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
j1;3;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;0;2;1;2;2;0;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;0;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;2;2;0.9;2;2;2;2;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j2;3;1;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;0;1;2;2;2;0;1;2;2;2;0;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j3;3;1;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;0;1;2;2;2;0;1;2;2;2;0;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;1;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j4;7;6;6;6;6;1;5;5;6;6;1;4;6;6;6;1;4;4;6;6;1;6;6;6;6;1;4;4;6;6;1;4;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;2;6;1;6;6;6;6;1;6;6;6;6;1;5;5;6;6;1;6;6;6;6;1;5;5;5;5;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j5;7;5;5;4;4;0.95;4;4;4;4;0.9;5;5;5;4;0.98;4;4;4;4;0.94;3;3;4;4;0.94;4;4;4;4;0.93;4;4;4;4;1;3;3;4;4;0.93;5;5;4;5;0.92;5;5;4;4;0.96;4;4;4;4;0.96;4;5;2;4;0.95;4;4;4;4;0.95;4;3;4;4;0.95;3;3;3;4;0.94;4;4;4;4;0.98;4;3;4;4;0.95;5;5;5;4;0.98;4;4;4;4;0.96;5;5;5;4;0.98;6;6;6;4;1;4;4;4;4;0.96;3;3;4;4;0.96;4;4;4;4;0.98;6;6;6;6;1;3;3;3;3;0.9;4;3;4;2;0.9;5;5;5;5;0.98;5;5;4;4;0.98;5;5;4;4;0.98;4;4;4;4;0.96;4;4;4;4;0.96;3;3;4;4;0.95;4;4;4;4;0.96;5;5;4;4;0.96;5;5;4;4;1;6;6;4;4;0.98;6;6;4;4;1;4;4;4;4;0.96;6;6;4;4;0.98;5;5;4;4;0.98;4;4;4;4;0.98;6;6;4;4;0.98;4;4;4;4;0.96;5;5;4;4;1
j6;7;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;4;4;6;6;0.9;4;6;6;6;0.9;4;6;6;6;0.9;4;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;0.9;6;6;3;6;0.85;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
j7;7;5;4;4;5;0.9;4;4;4;1;0.9;4;4;4;1;0.8;4;4;4;4;0.8;4;4;4;4;0.9;4;4;4;4;1;4;4;4;4;1;4;4;4;4;0.9;5;5;4;4;0.9;5;5;5;1;1;4;4;4;5;1;1;3;4;4;1;4;4;4;3;1;4;4;4;5;1;4;4;4;4;0.9;4;4;4;4;0.9;3;3;4;4;0.8;5;5;5;5;1;5;5;5;5;1;6;6;6;4;1;5;5;5;5;0.9;5;5;5;5;1;1;1;1;1;1;3;3;4;3;0.8;4;4;4;4;0.7;5;5;5;5;1;6;3;6;4;1;3;3;3;4;0.8;5;5;5;4;1;4;4;4;4;1;5;5;5;5;1;6;6;6;4;1;5;5;5;5;1;4;4;4;4;1;4;4;4;4;1;4;4;4;4;0.9;3;3;4;4;1;4;4;4;4;1;4;4;4;4;0.9;4;4;4;4;1;4;4;4;4;1;5;5;4;4;1;4;4;4;4;1;4;4;4;4;1;5;5;4;4;1
j8;7;5;4;4;4;1;4;3;4;4;1;4;3;4;1;1;4;3;3;4;1;4;3;4;4;1;4;3;4;3;1;5;3;4;4;1;5;4;4;4;1;4;5;5;5;1;4;3;3;4;1;4;3;5;3;1;6;5;5;4;1;4;4;4;4;1;4;3;3;4;1;4;3;3;3;1;3;3;3;3;1;4;4;3;3;1;3;3;3;2;1;4;4;3;3;1;5;4;2;3;1;4;1;3;3;1;2;4;4;3;1;5;5;4;2;1;3;1;4;4;1;2;2;3;3;1;4;4;4;4;1;4;4;3;3;1;5;6;3;3;1;4;4;3;1;1;5;5;5;4;1;5;6;5;4;1;4;6;4;4;1;3;3;3;4;1;4;3;4;4;1;3;4;3;4;1;3;3;4;3;1;3;2;3;4;1;4;4;4;3;1;3;5;3;3;1;4;3;3;1;1;3;3;3;3;1;3;3;3;3;1;5;5;4;5;1;4;4;5;3;1;4;3;4;3;1
j9;5;2;0;2;4;0.9;2;0;4;2;0.92;2;2;2;0;0.9;4;4;4;0;0.9;2;2;2;0;0.85;4;4;4;4;0.95;4;4;2;2;0.9;4;2;4;0;0.98;4;0;4;2;0.85;0;0;0;0;0.9;0;0;0;2;0.9;4;2;2;2;0.88;4;4;4;2;0.99;4;0;4;2;0.9;4;4;4;2;0.99;0;0;4;2;0.97;2;2;2;4;0.99;0;0;4;2;0.97;4;0;2;2;0.97;4;4;4;0;0.98;4;4;4;0;0.99;4;4;4;2;0.99;4;4;4;0;1;4;4;4;0;0.97;4;4;4;2;0.99;2;0;2;2;0.85;4;1;4;0;0.99;2;0;4;0;0.8;0;0;2;0;0.7;4;2;4;4;0.99;4;0;4;2;0.97;2;0;2;4;0.9;0;0;0;0;0.7;4;2;4;4;0.99;0;0;4;2;0.9;4;4;4;2;0.99;4;4;4;2;0.95;2;0;4;2;0.9;0;0;2;2;0.92;2;2;2;2;0.95;2;2;2;0;0.85;0;0;2;0;0.7;4;4;4;0;0.82;2;2;2;0;0.78;0;0;0;0;0.6
