dimensions;Begin;End;J1;J2;J3;J4;J5;J6;J7;J8;J9
1;1;1;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
2;2;2;0;0;0;0;0;0;0;0;1
