dimensions;Begin;End;J1;J2;J3;J4;J5;J6;J7;J8;J9
1;1;8;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
2;9;14;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
3;15;21;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
4;22;28;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
5;29;35;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
6;36;41;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
7;42;45;0.118;0.093;0.087;0.124;0.112;0.124;0.112;0.124;0.106
