criteria;ss;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W;C;R;P;S;W
J1;7;5;5;5;5;1;6;6;6;6;1;4;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;4;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;5;6;1;5;6;5;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;6;6;6;1;6;6;6;6;1;5;5;6;6;0.9;6;6;6;6;1;6;6;4;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;4;6;6;1;6;6;5;6;1;6;6;6;6;1;6;6;6;3;1
J2;7;6;6;6;6;1;6;6;6;6;1;6;4;6;6;1;6;6;6;6;1;6;6;6;6;0.9;6;4;6;6;0.9;6;4;6;6;0.9;6;4;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;5;6;1;6;6;5;6;1;6;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;1;6;4;6;6;1;6;6;6;6;1;6;4;6;6;1;6;4;6;6;1;6;4;6;6;1;6;6;6;6;1;6;4;6;6;1;6;4;6;6;1;6;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;1;6;6;6;6;1;6;6;6;6;1;4;6;6;6;0.9;6;6;6;6;0.85;6;6;6;6;1;6;6;4;6;1;6;6;3;6;1;6;6;6;6;0.9;6;4;4;6;1;6;4;6;6;1;6;6;3;6;1;6;4;4;6;1;6;6;6;6;1
J3;7;6;6;6;6;0.9;6;4;6;6;0.9;6;6;6;6;0.8;6;6;6;6;0.8;6;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0.9;6;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;0.9;6;5;6;6;0.9;4;6;6;6;0.8;6;6;6;6;1;4;6;6;6;1;6;6;6;6;1;6;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0.8;4;6;6;6;0.7;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0.8;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;0.9;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
J4;7;6;6;6;6;1;6;6;6;6;1;4;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;4;6;6;1;6;6;6;6;1;6;6;5;6;1;6;6;5;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1
J5;7;5;6;6;6;0.9;5;6;5;4;0.92;6;6;6;6;0.9;5;6;6;6;0.9;6;6;6;6;0.85;6;6;6;6;0.95;6;6;6;6;0.9;5;6;6;6;0.98;5;6;5;6;0.85;5;6;6;6;0.9;5;6;6;6;0.9;5;6;6;6;0.88;6;5;6;6;0.99;6;6;6;5;0.9;6;6;5;5;0.99;6;6;6;6;0.97;6;6;6;6;0.99;6;6;6;5;0.97;6;5;6;6;0.97;6;6;6;6;0.98;6;6;6;6;0.99;5;6;6;6;0.99;5;6;6;5;1;5;6;6;6;0.97;5;6;6;6;0.99;5;6;6;6;0.85;6;6;6;6;0.99;6;6;6;6;0.8;6;5;6;6;0.7;6;6;6;6;0.99;6;6;6;6;0.97;6;6;6;5;0.9;6;6;6;5;0.7;6;6;6;6;0.99;6;6;6;6;0.9;6;6;5;6;0.99;5;5;6;6;0.95;5;6;6;6;0.9;5;6;6;6;0.92;5;6;6;6;0.95;6;6;6;6;0.85;5;6;6;6;0.7;6;6;6;6;0.82;6;5;6;6;0.78;6;6;6;6;0.6
J6;7;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;4;6;1;6;6;3;6;1;6;6;6;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;4;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;5;6;1;6;6;4;6;1;6;6;4;6;1;6;6;5;6;1;6;6;4;6;1;6;6;5;6;1;6;6;6;6;1;6;6;4;6;1;6;6;5;6;1
J7;7;5;5;6;6;1;5;5;4;4;1;4;4;4;6;1;5;5;4;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;5;6;6;1;6;6;6;6;1;6;6;6;3;1;4;4;6;6;1;4;4;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;5;6;1;4;4;4;5;1;5;5;5;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;3;4;4;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;5;5;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;5;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;3;1
J8;7;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;6;6;6;1;6;5;6;6;1;6;5;6;6;1;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;4;4;5;6;1;6;6;6;6;1;5;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1;6;6;6;6;1;6;6;6;6;1;6;5;6;6;1
J9;7;5;4;6;5;0.95;5;5;6;4;0.9;5;5;6;4;0.98;4;4;6;4;0.94;5;5;6;4;0.94;5;4;6;4;0.93;5;6;6;5;1;6;6;6;5;0.93;5;5;6;5;0.92;5;4;6;4;0.96;4;5;6;4;0.96;6;6;6;5;0.95;4;3;6;4;0.95;4;5;6;4;0.95;4;5;6;4;0.94;4;5;6;5;0.98;5;4;6;4;0.95;6;5;6;5;0.98;4;3;6;4;0.96;5;4;6;4;0.98;5;6;6;5;1;6;5;6;5;0.96;4;4;6;4;0.96;4;4;6;4;0.98;5;6;6;4;1;4;4;6;4;0.9;6;6;6;5;0.9;5;5;6;4;0.98;5;6;6;4;0.98;4;4;6;4;0.98;4;4;6;4;0.96;6;6;6;5;0.96;5;5;6;4;0.95;5;4;6;4;0.96;4;4;6;4;0.96;6;6;6;5;1;6;6;6;5;0.98;4;4;6;4;1;4;4;6;4;0.96;6;6;6;5;0.98;5;4;6;4;0.98;6;6;6;5;0.98;6;6;6;6;0.98;6;5;6;4;0.96;6;6;6;5;1
