criteria;ss;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r;c;w;p;s;r
j1;3;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;0;0;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;0;0;0;0;;2;2;2;2;1;2;0;2;2;1;0;0;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j2;3;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;0;2;;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j3;3;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2, 1;2;2;1;2;2;2;2;1;2;2;2;2;;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j4;3;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;;2;2;2;2;0.8;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j5;3;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1
j6;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;4;0;;0;0;0;0;1;3;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;3;0;0;1;3;3;0;0;0.8;0;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;3;3;0;0;0.8;0;0;0;0;1;0;0;0;0;1
